genus,family,trophic_guilds,trophic_guild_primary,qa_has_answer,qa_answer,qa_best_collection,qa_source_docids,n_docs_retrieved,interaction_sentences,n_interaction_sentences,biotxplorer_partners,biotxplorer_max_score
Onychiurus,Onychiuridae,omnivore|fungivore|predator|detritivore,omnivore,True,"Based on the provided documents, there is no direct information about the diet of Onychiurus species. However, given that several Onychiurus species are described as inhabiting mushroom environments, it is possible that they may feed on fungal materials or detritus associated with these habitats. This inference is based on ecological context rather than explicit dietary data .",medline,31715768(medline),1,"Two new onyсhiurid species (Collembola, Onychiurinae) inhabiting morel fruit bodies in southwest China..",1,,
Orchesella,Orchesellidae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet of Orchesella cincta. The sources discuss aspects such as genetics, morphology, and ecological interactions but do not mention feeding habits . Further research would be needed to determine what Orchesella feeds on.",medline,24398075(medline)|25061350(medline)|21416112(medline)|28309162(medline)|19027878(medline),5,"For example, DDT resistance in the housefly is due to insertion of a mobile element into the prom||(Carabidae) concerning two collembolan prey species..||Observations on predation by the diurnally active predator Notiophilus biguttatus F., show that locomotory activity of the prey favours capture.",3,,
Orthonychiurus,Onychiuridae,fungivore|predator,fungivore,True,"Based on the provided documents, Orthonychiurus feeds on slime molds, as indicated by the mention that ""Crossodonthina sp. (which feeds only on slime molds among..."" . Additionally, some species within the genus may also feed on fungal materials or decaying plant matter, as noted in general descriptions of Collembola . However, specific dietary preferences for all species within the genus are not fully detailed in the given sources.",pmc,PMC12284588(pmc)|PMC7808379(pmc),2,,0,,
Pachyotoma,Isotomidae,fungivore|detritivore,fungivore,True,"Based on the provided documents, Pachyotoma species are primarily associated with feeding on fungal resources. They are described as mycophagous, meaning they consume fungi, and some species may selectively feed on different fungal species . Additionally, certain Pachyotoma species, like P. crassicauda, are noted to feed on cryoconite, which includes organic matter and possibly microbial components on glacial surfaces .",pmc,PMC3419650(pmc)|PMC11718624(pmc),2,,0,,
Paratullbergia,Tullbergiidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Paratullbergia* species. The descriptions focus on morphological characteristics and taxonomic details rather than ecological preferences or dietary sources. Therefore, the feeding habits of *Paratullbergia* cannot be determined from the given sources.",medline,26668547(medline),1,,0,,
Parisotoma,Isotomidae,omnivore|detritivore|fungivore|bacterivore,omnivore,True,"Based on the provided documents, *Parisotoma* species are described as decomposers that feed on litter and some fungi . Additionally, they are noted to potentially rely more on bacteria through an external rumen feeding strategy, particularly in hemiedaphic and euedaphic environments .",pmc,PMC8453724(pmc)|PMC10048822(pmc),2,,0,,
Plutomurus,Tomoceridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Plutomurus* species. The sources describe morphological characteristics, distribution, and habitat preferences of various *Plutomurus* species, but none mention their food sources . Further research would be needed to determine the dietary ecology of these organisms.",plazi,DB28A21D9214FF8EFF18FBD2FC9FFEE8(plazi)|03C2FA4DFFA7FFEDFF69F97B984DFDB6(plazi)|5630E96FFFD0FFA804DAF97CFE510B82(plazi)|4A0C87CCAD4AFFBBB187FD97FB09FCC6(plazi)|039987FCFFC7FF96FF143D9169F28BDE(plazi),5,,0,,
Podura,Poduridae,unknown,unknown,True,"Based on the provided documents, Podura aquatica is described as living on the surface of calm waters and accumulating close to riparian vegetation . However, specific dietary information about what Podura feeds on is not explicitly mentioned in the given sources. The focus of the research appears to be on their optical behaviors and ecological adaptations rather than their feeding habits. Thus, the exact diet of Podura remains unspecified in the available literature.",medline,31015288(medline),1,,0,,
Pogonognathellus,Tomoceridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pogonognathellus*. The sources discuss morphological characteristics and ecological studies related to thermal tolerance but do not mention dietary preferences . Further research would be needed to determine what *Pogonognathellus* feeds on.",medline,25661939(medline)|17222862(medline),2,,0,,
Proisotoma,Isotomidae,detritivore,detritivore,True,"Based on the provided documents, there is no direct information about the feeding habits of Proisotoma. However, it is mentioned that certain species like *Proisotoma sepulcralis* are associated with decomposing bodies and possibly benefit from the decomposition process, which might involve feeding on organic matter related to decomposition . For more specific dietary preferences, additional studies would be required.",medline,31256818(medline),1,Effects of peri-mortem infection on the entomofauna of decomposing buried human remains - a metadata analysis..,1,,
Proisotomodes,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Proisotomodes*. The sources discuss taxonomic relationships and morphological characteristics but do not mention dietary preferences . Further research would be needed to determine what *Proisotomodes* feeds on.",plazi,730B87ECFFF3F241FF5EF8F07AFBFE0B(plazi)|365B3895F153730A921D496BD070F427(plazi)|C42D795BC2125A0E7DB907872714D998(plazi),3,,0,,
Protaphorura,Onychiuridae,omnivore|algivore|predator|fungivore|bacterivore|detritivore,omnivore,True,"Based on the provided documents, Protaphorura feeds on a variety of organic materials including leaf litter, fungi, bacteria, roots, and algae . Additionally, bacterial nutrition was specifically demonstrated in the onychiurid springtail *Protaphorura armata* .",pmc,PMC12547479(pmc)|10.3897/subtbiol.16.8609(pmc),2,Food sources of selected terrestrial cave arthropods.||Preferences ranged from fungal propagules (for the millipede Trachysphaera costata ) to bacteria on bat guano (for the oribatid mite Pantelozetes cavaticus ) and to cyanobacteria (for the microwhip scorpion Eukoenenia spelaea,2,,
Pseudachorutella,Neanuridae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the feeding habits of *Pseudachorutella ellisi* sp. nov. . The description focuses on morphological features rather than dietary preferences.",medline,37518281(medline),1,New species of Neanuridae (Collembola) living on the endemic tree Zelkova abelicea in Crete..,1,,
Pseudachorutes,Neanuridae,unknown,unknown,True,"Based on the provided documents, there is no explicit mention of the feeding habits of *Pseudachorutes* species. The sources describe morphological characteristics, ecological habitats, and taxonomic distinctions but do not specify dietary preferences . Further research would be needed to determine their diet.",plazi,BD19879DB83ABF589BB17DDF9074FB99(plazi)|3639C6609E5FFF90FF3D4FBF37657F25(plazi)|3639C6609E56FF9EFF3D4EFF33C079E7(plazi)|6C8DBFFDED1DB7930149B56BCEDBCA7B(plazi)|03FF6C3A853FFFC47A8C8F23F2A0FB52(plazi),5,,0,,
Pseudanurophorus,Isotomidae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pseudanurophorus barathrum*. The document primarily focuses on the taxonomy and morphology of springtails from saline lakes in Russia and China . Further research would be needed to determine its dietary preferences.",medline,32508499(medline),1,"New and little known Isotomidae (Collembola) from the shore of Lake Baikal and saline lakes of continental Asia..||A morphological description of epitokous males of Scutisotoma acorrelata Potapov, Babenko & Fjellberg, 2006 is given.",2,,
Pseudisotoma,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pseudisotoma*. The sources primarily focus on taxonomy, morphology, and distribution of various springtail species, but do not mention their food sources . Further research would be required to determine the dietary preferences of *Pseudisotoma*.",plazi,266B5D55F70BFF99FF7EFD954521FB65(plazi)|256B931EFFC4FFACFF3A4A4DFEC3FD7C(plazi)|256B931EFFC0FFA2FF3A48C3FA7CFD99(plazi)|CE2487CB0255FD3EB2D8FE0209E4F8A4(plazi)|5E2D9E05FF89FFD2FF50FA62FCA87CB0(plazi),5,,0,,
Pseudosinella,Lepidocyrtidae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet of *Pseudosinella* species. The sources focus on taxonomy, morphology, and distribution rather than feeding habits . Further research would be needed to determine their dietary preferences.",medline,30486077(medline)|32204486(medline)|30313554(medline)|33223894(medline)|34744473(medline),5,"A new species of Pseudosinella Schäffer, 1897 (Collembola, Entomobryidae) from Altamira Caves (Cantabria, Spain)..",1,,
Pygmarrhopalites,Arrhopalitidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pygmarrhopalites*. The sources discuss taxonomy, phylogenetics, and ecological niches but do not mention feeding behavior . Further research would be required to determine their dietary preferences.",medline,40266800(medline)|33801126(medline)|41119333(medline),3,"In this paper, we describe two new troglobiont species of Pygmarrhopalites VargovitshP.arbaicus sp.",1,,
Rusekianna,Katiannidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Rusekianna*. The sources mention the genus *Rusekianna* but do not provide details about its ecological interactions or food sources . Further research would be needed to determine what *Rusekianna* feeds on.",pmc,10.25674/So94iSS1id179(pmc),1,,0,,
Schoettella,Hypogastruridae,unknown,unknown,True,"Based on the provided documents, there is no explicit information regarding the feeding habits of Schoettella species. The sources describe morphological characteristics and geographic distributions of various Schoettella species but do not mention their diet or food sources . Further research would be needed to determine their ecological niche and feeding behavior.",plazi,985F87902F5BFFC497BEFF06DCDA3666(plazi)|985F87902F57FFCB97BEFB32D94F3505(plazi)|266B5D55F753FFC1FF7EFAF64506FA37(plazi),3,,0,,
Scutisotoma,Isotomidae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet of *Scutisotoma* species. The sources describe the distribution and taxonomy of various *Scutisotoma* species but do not mention their feeding habits ,. Further research would be needed to determine their dietary preferences.",medline,22371662(medline)|32508499(medline),2,"New and little known Isotomidae (Collembola) from the shore of Lake Baikal and saline lakes of continental Asia..||A morphological description of epitokous males of Scutisotoma acorrelata Potapov, Babenko & Fjellberg, 2006 is given.",2,,
Seira,Seiridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Seira* species. The sources describe morphological features and taxonomic details but do not mention dietary preferences . Further research would be needed to determine what *Seira* feeds on.",plazi,0E45486FFF83FFA0FF20F9EE66F3FD92(plazi)|470A87BFE17AFF9FFF2B76FE72961CEC(plazi)|03E587FCE04F302BFF02FB254974FD1C(plazi)|DA29B665D721F91FFF10A1659B05FB6E(plazi)|03AEC0405D6CFF8EFF4DF95F4D9FF813(plazi),5,"Femora of the first pair of legs on males variably enlarged, bearing a variable number of short and strong spines, concentrated on a ventral projection of the femora (Figs 2; 4F).||First pair of tibiotarsi curved on males, bearing a single row of long spine-like setae (Figs 2; 4G).",2,,
Sminthurides,Sminthurididae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Sminthurides* species. The sources focus on morphological characteristics, taxonomy, and distribution rather than feeding habits . Further research would be needed to determine their dietary preferences.",plazi,03E0BD5B6050FFA9FF2CFCD8FB20FEAA(plazi)|266B5D55F71EFF8CFF7EFCE545A0FAF2(plazi)|A742F903FF9DFFA6CAB3FF20C17510DE(plazi)|52FD4C8226885A889BE5E7E1832EF46C(plazi)|266B5D55F71DFF8FFF7EF9D64506F917(plazi),5,,0,,
Sminthurinus,Katiannidae,unknown,unknown,True,"Based on the provided documents, there is no direct information about the diet of *Sminthurinus*. The sources describe morphological features and ecological contexts of *Sminthurinus* but do not specify its feeding habits . Further research would be needed to determine its dietary preferences.",medline,33055657(medline)|18533531(medline)|33801126(medline)|33746534(medline),4,,0,,
Sminthurus,Sminthuridae,predator,predator,True,"Based on the provided documents, there is no direct mention of what *Sminthurus* feeds on. However, it is noted that *Sminthurus viridis*, a species within the genus, is an important pest of winter grain crops and pastures in Australia, suggesting it may feed on plant material . Additionally, the ventral tube structure of *Sminthurus viridis* indicates adaptations possibly related to feeding behaviors, though specific dietary preferences are not detailed in the given sources.",medline,32346741(medline),1,"Insecticide Responses in the Collembola Pest, Sminthurus viridis (Collembola: Sminthuridae), in Australia..||Lucerne flea (Sminthurus viridis Linnaeus) is an important establishment pest of winter grain crops and pastures in Australia.",2,,
Sphaeridia,Sminthurididae,unknown,unknown,True,"Based on the provided documents, there is no direct information about what *Sphaeridia* feeds on. The term ""sphaeridia"" appears in different contexts across various biological systems, including echinoderm development, cell biology, and entomology, but none specify dietary habits of *Sphaeridia*. Therefore, the feeding behavior of *Sphaeridia* cannot be determined from the given sources .",medline,20339592(medline)|5603225(medline)|183612(medline)|7199488(medline)|37560261(medline),5,,0,,
Stenacidia,Sminthurididae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Stenacidia*. The sources describe morphological characteristics and taxonomic details but do not mention dietary preferences . Further research would be needed to determine what *Stenacidia* feeds on.",plazi,03E0BD5B6050FFA9FF2CFCD8FB20FEAA(plazi),1,,0,,
Stenaphorura,Tullbergiidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Stenaphorura* spp. The text describes morphological characteristics and taxonomic details but does not mention dietary preferences . Further research would be needed to determine the feeding ecology of this genus.",medline,27615985(medline),1,,0,,
Subisotoma,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Subisotoma*. The sources describe taxonomic details and distribution of *Subisotoma* species but do not mention feeding habits ,. Further research would be needed to determine their dietary preferences.",medline,22371662(medline)|23794839(medline),2,,0,,
Superodontella,Odontellidae,unknown,unknown,True,"Based on the provided documents, there is no explicit information regarding the diet of Superodontella species. The text mentions that ""a function in the feeding habits of the species concerned, which remains to be elucidated"" . Therefore, the specific food source of Superodontella is not detailed in the given sources.",plazi,03BB9D1CFF8095204AC1FF2EFF46F819(plazi),1,,0,,
Supraphorura,Onychiuridae,unknown,unknown,True,"Based on the provided documents, Supraphorura furcifera feeds on organic material in soil . This is indicated by the description that ""A. caliginosa feeds on organic material in soil and forms horizontal burrows,"" although it should be noted that this statement refers to A. caliginosa rather than directly to Supraphorura furcifera. The feeding habits of Supraphorura furcifera itself are not explicitly detailed in the given sources.",pmc,PMC6297133(pmc),1,,0,,
Tetracanthella,Isotomidae,omnivore|algivore|bacterivore|predator,omnivore,True,"Based on the provided documents, there is no explicit information regarding the diet of *Tetracanthella*. The sources primarily focus on the taxonomy, distribution, and morphological features of *Tetracanthella* and other Collembola species, but do not specify their dietary habits . Further research would be needed to determine the specific food sources of *Tetracanthella*.",pmc,PMC7564799(pmc)|PMC6586687(pmc)|PMC3088458(pmc)|10.11646/zootaxa.5104.1.4(pmc),4,"The real pioneers are, however, wingless springtails that graze on biofilm containing algae or cyanobacteria.",1,,
Tetrodontophora,Onychiuridae,predator|bacterivore,predator,True,"Based on the provided documents, Tetrodontophora feeds primarily on other small organisms such as springtails and possibly other microorganisms. Specifically, it is noted that Tetrodontophora bielanensis is part of the group where prey items include colored springtails like Hypogastrura sp. or Tetrodontophora sp., although the exact diet may vary . However, the specific dietary preferences of all Tetrodontophora species are not explicitly detailed in the given sources.",pmc,PMC5602048(pmc),1,"Gut contents, digestive half-lives and feeding state prediction in the soil predatory mite Pergamasus longicornis (Mesostigmata: Parasitidae).||Mid- and hind-gut lumenal changes are described in the free-living predatory soil mite Pergamasus longicornis (Berlese) from a time series of histological sections scored during and after feeding on fly larval prey.",2,,
Thalassaphorura,Onychiuridae,predator,predator,True,"Based on the provided documents, there is no explicit information regarding the diet of Thalassaphorura. The sources discuss the ecological roles, distribution, and responses of Thalassaphorura to environmental factors, but not their feeding habits . Further research would be needed to determine their specific dietary preferences.",pmc,PMC11942941(pmc)|PMC3419650(pmc)|PMC5730192(pmc)|10.5281/zenodo.13314112(pmc)|PMC3890660(pmc),5,"This study examined how climate and land use practices affect Collembola (springtails), a type of soil organism, in the black soil of Northeast China.",1,,
Thaumanura,Neanuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Thaumanura*. The sources mention the ecological habitats of certain *Thaumanura* species, such as being found in soil under fig trees , but do not provide details about their feeding habits. Further research would be needed to determine their dietary preferences.",pmc,10.11646/zootaxa.5275.1.1(pmc),1,,0,,
Tomocerina,Tomoceridae,bacterivore,bacterivore,True,"Based on the provided documents, Tomocerina species exhibit dietary shifts influenced by elevation, with evidence suggesting they feed more on microorganisms, microbial residues, or other isotopically enriched resources at higher elevations . Specific details about their exact food sources are not explicitly mentioned in the texts.",pmc,PMC10980659(pmc),1,,0,,
Tomocerus,Tomoceridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Tomocerus species. The sources focus on morphological characteristics, taxonomy, and distribution of various Tomocerus species rather than their ecological interactions or dietary preferences . Further research would be needed to determine their feeding behavior.",medline,30485975(medline)|27394254(medline)|25661939(medline)|27110179(medline)|40173748(medline),5,,0,,
Tritomurus,Tomoceridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Tritomurus*. The sources describe morphological characteristics, distribution, and habitat preferences of various springtail genera and species, including *Tritomurus*, but do not mention feeding habits . Further research would be needed to determine the dietary preferences of *Tritomurus* species.",plazi,4A0C87CCAD4AFFBBB187FD97FB09FCC6(plazi)|03AEA13AFF77672FFF1AFBDCFC6AFE37(plazi)|B0158799FFB2FFFECCADFA0EFA93FC5B(plazi)|8C788F692A6AAE7ED9CF83658AA8717A(plazi)|CE15748A5A2091405F29E736629BCD8F(plazi),5,,0,,
Troglopedetes,Paronellidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Troglopedetes species. The descriptions focus on morphological characteristics such as chaetae structure and arrangement . For detailed dietary information, additional studies would be required.",plazi,C41EAAD54C3D53BE8E86152B09A1A080(plazi)|2065CA16C7EC5AEE904DD5660EEF0C54(plazi)|E72B73340A205C6FB00058D0F2128C22(plazi)|94176063FB2A5DAA9E626EF7B42441D1(plazi),4,,0,,
Vertagopus,Isotomidae,omnivore|fungivore|herbivore|predator|detritivore,omnivore,True,"Based on the provided documents, Vertagopus species are primarily associated with plant material, particularly young leaves. Under sterile conditions, these leaves are toxic to certain Vertagopus species like V. pseudocinereus, whereas naturally grown leaves are non-toxic and support their growth and reproduction . Specific dietary preferences may vary depending on the ecological context and availability of resources.",medline,17205807(medline),1,"The possibility of feeding on green and newly fallen leaves of the small-leaved lime Tilia cordata was studied for the collembolans Protaphorura armata and Vertagopus pseudocinereus.||Young leaves grown under sterile conditions and almost free of yeast fungi were established to be toxic to the collembolan V.||pseudocinereus: feeding on them led to the death of the animals.||Leaves grown under natural conditions were nontoxic: when used by the collembolans as feed, they provided for collembolan growth and fecundity.||Feeding preferences of the collembolans in relation to the yeasts attributed to different ecomorphs-epiphytes, litter saprophytes, pedobionts, and saccharobionts-were studied.",5,,
Willemia,Hypogastruridae,unknown,unknown,True,"Based on the provided documents, there is no direct information about the diet or feeding habits of *Willemia*. The sources mention various species within the genus *Willemia* and their ecological contexts, such as resistance to environmental stressors like drought , but do not specify what these organisms consume. Therefore, the dietary preferences of *Willemia* remain unspecified in the given texts.",pmc,PMC3419650(pmc),1,,0,,
Willowsia,Entomobryidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of any species within the genus *Willowsia*. The sources describe geographical distributions, morphological characteristics, and phylogenetic relationships but do not mention dietary preferences . Further research would be needed to determine the ecological niche and feeding behavior of these organisms.",plazi,03E58E29FFF2FF949EF6FDBC4714FCD9(plazi)|6C5787D6FFBBB46D6DFA6D69FDF40181(plazi)|03A8146EFFBAFF7A2B9CFF08FC6B5F10(plazi)|F43387DF6B39FF9EB48C3EAEFE2CEADD(plazi)|03F787DF1D01D970FE6A685784A6FB9B(plazi),5,,0,,
Xenylla,Hypogastruridae,unknown,unknown,True,"Based on the provided documents, Xenylla feeds on particles suspended in water, as they are adapted to life in marine environments where such food sources are available . This dietary habit is common among species in the family, which includes other genera like Archisotoma and Hypogastrura . No specific details about their exact diet beyond this general description are provided in the sources.",plazi,54C607EBD713C51CCCD28D742EF12E67(plazi),1,,0,,
Xenyllodes,Odontellidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Xenyllodes* species. The sources primarily focus on taxonomic descriptions, geographical distributions, and collection data rather than ecological interactions or dietary preferences . Further research would be needed to determine their feeding behavior.",plazi,266B5D55F770FFE2FF7EF92A4547F811(plazi)|03FA87DFFFF8FF86FF3B2F95FCFDF8E4(plazi)|03FA87DFFFFDFF87FF3B28B0FB17FAD0(plazi),3,,0,,
